"","non_treatment_1","non_treatment_2","non_treatment_3","control_1","control_2","control_3","siSOX10_1","siSOX10_2","siSOX10_3","siSOX10_control_1","siSOX10_control_2","siSOX10_control_3"
"non_treatment_1",1,0.992908617428057,0.988601216229658,0.98910501477839,0.99162447079708,0.98214552407275,0.949013499438282,0.951825170422606,0.928812601830554,0.946690653563233,0.94620759428103,0.920371765780078
"non_treatment_2",0.992908617428057,1,0.989036404813765,0.988672003523571,0.990881598206085,0.984330975756878,0.948200581013583,0.951357132173156,0.929390646818653,0.946454975347319,0.946489763511955,0.922268435896724
"non_treatment_3",0.988601216229658,0.989036404813765,1,0.986623006276954,0.98765119885174,0.990264920193967,0.953553656833229,0.955732700466223,0.934461572763734,0.947638511220021,0.948301666396703,0.927183724343506
"control_1",0.98910501477839,0.988672003523571,0.986623006276954,1,0.992800266311899,0.982413216575683,0.947149938780146,0.949075235122712,0.921019028639091,0.942704992607085,0.945719887897062,0.916756199894549
"control_2",0.99162447079708,0.990881598206085,0.98765119885174,0.992800266311899,1,0.983557158323844,0.953110600929902,0.954422549991056,0.926656487651281,0.948103929950924,0.949543457807608,0.920723229218033
"control_3",0.98214552407275,0.984330975756878,0.990264920193967,0.982413216575683,0.983557158323844,1,0.953729174795032,0.955937421581182,0.936853283817362,0.947376945882411,0.948928212301645,0.93207413627492
"siSOX10_1",0.949013499438282,0.948200581013583,0.953553656833229,0.947149938780146,0.953110600929902,0.953729174795032,1,0.994760996318057,0.9801891424293,0.987389626369959,0.98733983743564,0.969230362509138
"siSOX10_2",0.951825170422606,0.951357132173156,0.955732700466223,0.949075235122712,0.954422549991056,0.955937421581182,0.994760996318057,1,0.981804687990496,0.988216890917368,0.988156185586275,0.970329862349769
"siSOX10_3",0.928812601830554,0.929390646818653,0.934461572763734,0.921019028639091,0.926656487651281,0.936853283817362,0.9801891424293,0.981804687990496,1,0.978882691705344,0.976812604054461,0.978924363039024
"siSOX10_control_1",0.946690653563233,0.946454975347319,0.947638511220021,0.942704992607085,0.948103929950924,0.947376945882411,0.987389626369959,0.988216890917368,0.978882691705344,1,0.993568411338213,0.979859709093156
"siSOX10_control_2",0.94620759428103,0.946489763511955,0.948301666396703,0.945719887897062,0.949543457807608,0.948928212301645,0.98733983743564,0.988156185586275,0.976812604054461,0.993568411338213,1,0.981415283398577
"siSOX10_control_3",0.920371765780078,0.922268435896724,0.927183724343506,0.916756199894549,0.920723229218033,0.93207413627492,0.969230362509138,0.970329862349769,0.978924363039024,0.979859709093156,0.981415283398577,1
